# skill<TAB>prompt_file<TAB>max_turns   (lines starting with # are ignored)
# Behavioral skill-triggering cases. Each naive prompt must NOT name the skill;
# the eval asserts Claude auto-invokes the expected skill. analysis-conventions
# is omitted (user-invocable: false — context-load only, not auto-routable).
plan-with-docs	prompts/plan-with-docs.txt	6
co-review	prompts/co-review.txt	6
review-facts	prompts/review-facts.txt	6
task	prompts/task.txt	6
task	prompts/task-named-issue.txt	6
analysis-pipeline	prompts/analysis-pipeline.txt	6
break-down-task	prompts/break-down-task.txt	6
orchestrate-coders	prompts/orchestrate-coders.txt	6
select-coder	prompts/select-coder.txt	6
assess-task	prompts/assess-task.txt	6
tutor	prompts/tutor.txt	6
research-spike	prompts/research-spike.txt	6
research-spike-tutorial	prompts/research-spike-tutorial.txt	6
